id	title	price_pc	price_mobile	normal_price	link	mobile_link	image_link	add_image_link	category_name1	category_name2	category_name3	category_name4	naver_category	naver_product_id	condition	import_flag	parallel_import	order_made	product_flag	rental_info	adult	goods_type	barcode	manufacture_define_number	model_number	brand	maker	origin	card_event	event_words	benefit_price	partner_coupon_download	interest_free_event	point	installation_costs	pre_match_code	search_tag	group_id	vendor_id	coordi_id	minimum_purchase_quantity	review_count	shipping	delivery_grade	delivery_detail	attribute	option_detail	seller_id	age_group	gender	benefit_start_date	benefit_end_date	brand_certification
960	라코스테냐 할라페뇨 페퍼 슬라이스(in Glass Jar) 440g	7000	7000		https://skmrkt.com/product/detail.html?product_no=960&cate_no=177&display_group=1&cafe_mkt=naver_ks&mkt_in=Y&ghost_mall_id=naver&ref=naver_open	http://m.skmrkt.com/product/detail.html?product_no=960&cate_no=177&display_group=1&cafe_mkt=naver_ks	http://skmrkt.com/web/product/medium/202306/e594a04748b8d9ddbd244b6e4c785cc3_dburl.png		전체상품	소스/잼/오일	장류				신상품											자체브랜드	자체제작				7000			7000							1	0	3000	Y	제주지역 4000원/도서산간지역 4000원/								
1004	촐룰라 핫소스 오리지널 150ml	6500	6500		https://skmrkt.com/product/detail.html?product_no=1004&cate_no=138&display_group=1&cafe_mkt=naver_ks&mkt_in=Y&ghost_mall_id=naver&ref=naver_open	http://m.skmrkt.com/product/detail.html?product_no=1004&cate_no=138&display_group=1&cafe_mkt=naver_ks	http://skmrkt.com/web/product/medium/202410/29aa7a6c03937648a7f28968fcec627a_dburl.jpg		전체상품	소스/잼/오일					신상품											자체브랜드	자체제작				6500			6500							1	0	3000	Y	제주지역 4000원/도서산간지역 4000원/								
1005	카르보넬 엑스트라버진 올리브오일 스프레이 200ml	11980	11980		https://skmrkt.com/product/detail.html?product_no=1005&cate_no=138&display_group=1&cafe_mkt=naver_ks&mkt_in=Y&ghost_mall_id=naver&ref=naver_open	http://m.skmrkt.com/product/detail.html?product_no=1005&cate_no=138&display_group=1&cafe_mkt=naver_ks	http://skmrkt.com/web/product/medium/202305/89c6895421bbd00e2a46ee4aa8f684d7_dburl.jpg		전체상품	소스/잼/오일					신상품											자체브랜드	자체제작				11980			12000							1	0	3000	Y	제주지역 4000원/도서산간지역 4000원/								
1030	힙 콤비오틱 유기농 분유 3단계 800g	44800	44800		https://skmrkt.com/product/detail.html?product_no=1030&cate_no=141&display_group=1&cafe_mkt=naver_ks&mkt_in=Y&ghost_mall_id=naver&ref=naver_open	http://m.skmrkt.com/product/detail.html?product_no=1030&cate_no=141&display_group=1&cafe_mkt=naver_ks	http://skmrkt.com/web/product/medium/202402/71c89412fe0d75998ccfca8366cfbcc0_dburl.jpg		전체상품	육아용품					신상품											힙	힙				44800			44800			힙|힙분유|유기농분유|힙 분유|hipp|hipp분유				1	0	0	Y	제주지역 4000원/도서산간지역 4000원/								
1031	힙 콤비오틱 유기농 분유 2단계 800g	44800	44800		https://skmrkt.com/product/detail.html?product_no=1031&cate_no=141&display_group=1&cafe_mkt=naver_ks&mkt_in=Y&ghost_mall_id=naver&ref=naver_open	http://m.skmrkt.com/product/detail.html?product_no=1031&cate_no=141&display_group=1&cafe_mkt=naver_ks	http://skmrkt.com/web/product/medium/202310/a1d9e0647cb59e57c99211029f1a755c_dburl.jpg		전체상품	육아용품					신상품											힙	힙				44800			44800			힙|힙분유|유기농분유|힙 분유|hipp|hipp분유				1	1	0	Y	제주지역 4000원/도서산간지역 4000원/								
1032	힙 콤비오틱 유기농 분유 1단계 800g	44800	44800		https://skmrkt.com/product/detail.html?product_no=1032&cate_no=141&display_group=1&cafe_mkt=naver_ks&mkt_in=Y&ghost_mall_id=naver&ref=naver_open	http://m.skmrkt.com/product/detail.html?product_no=1032&cate_no=141&display_group=1&cafe_mkt=naver_ks	http://skmrkt.com/web/product/medium/202310/f2e8864c7941af64eb327b6cbbaf3c90_dburl.jpg		전체상품	육아용품					신상품											힙	힙				44800			44800			힙|힙분유|유기농분유|힙 분유|hipp|hipp분유				1	0	0	Y	제주지역 4000원/도서산간지역 4000원/								
1037	힙 플럼 블랙커런트 인 페어 100g	2780	2780		https://skmrkt.com/product/detail.html?product_no=1037&cate_no=141&display_group=1&cafe_mkt=naver_ks&mkt_in=Y&ghost_mall_id=naver&ref=naver_open	http://m.skmrkt.com/product/detail.html?product_no=1037&cate_no=141&display_group=1&cafe_mkt=naver_ks	http://skmrkt.com/web/product/medium/202508/d912d2b72527c6c84f3389a466e9a4aa_dburl.jpg		전체상품	육아용품					신상품											힙	힙				2780			2800			유아이유식|과일이유식|힙이유식|유아식				1	0	3000	Y	제주지역 4000원/도서산간지역 4000원/								
1038	힙 페어 애플 100g	2780	2780		https://skmrkt.com/product/detail.html?product_no=1038&cate_no=141&display_group=1&cafe_mkt=naver_ks&mkt_in=Y&ghost_mall_id=naver&ref=naver_open	http://m.skmrkt.com/product/detail.html?product_no=1038&cate_no=141&display_group=1&cafe_mkt=naver_ks	http://skmrkt.com/web/product/medium/202508/f4a70b46a28a254feabe970ea226954f_dburl.jpg		전체상품	육아용품					신상품											힙	힙				2780			2800			유아이유식|과일이유식|힙이유식|유아식				1	0	3000	Y	제주지역 4000원/도서산간지역 4000원/								
1039	힙 애플 페어 바나나 100g	2780	2780		https://skmrkt.com/product/detail.html?product_no=1039&cate_no=141&display_group=1&cafe_mkt=naver_ks&mkt_in=Y&ghost_mall_id=naver&ref=naver_open	http://m.skmrkt.com/product/detail.html?product_no=1039&cate_no=141&display_group=1&cafe_mkt=naver_ks	http://skmrkt.com/web/product/medium/202508/76a0b922409c5a8a15da64a1827c5489_dburl.jpg		전체상품	육아용품					신상품											힙	힙				2780			2800			유아이유식|과일이유식|힙이유식|유아식				1	0	3000	Y	제주지역 4000원/도서산간지역 4000원/								
1040	힙 애플바나나 100g	2780	2780		https://skmrkt.com/product/detail.html?product_no=1040&cate_no=141&display_group=1&cafe_mkt=naver_ks&mkt_in=Y&ghost_mall_id=naver&ref=naver_open	http://m.skmrkt.com/product/detail.html?product_no=1040&cate_no=141&display_group=1&cafe_mkt=naver_ks	http://skmrkt.com/web/product/medium/202508/4e7a148cbf789bf72955d405ca48b7a9_dburl.jpg		전체상품	육아용품					신상품											힙	힙				2780			2800			유아이유식|과일이유식|힙이유식|유아식				1	0	3000	Y	제주지역 4000원/도서산간지역 4000원/								
1041	힙 와일드베리 애플피치 100g	2780	2780		https://skmrkt.com/product/detail.html?product_no=1041&cate_no=141&display_group=1&cafe_mkt=naver_ks&mkt_in=Y&ghost_mall_id=naver&ref=naver_open	http://m.skmrkt.com/product/detail.html?product_no=1041&cate_no=141&display_group=1&cafe_mkt=naver_ks	http://skmrkt.com/web/product/medium/202508/0142e7fead46084df86181f0d0c9d405_dburl.jpg		전체상품	육아용품					신상품											힙	힙				2780			2800			유아이유식|과일이유식|힙이유식|유아식				1	0	3000	Y	제주지역 4000원/도서산간지역 4000원/								
1042	힙 바나나 페어 망고 100g	2780	2780		https://skmrkt.com/product/detail.html?product_no=1042&cate_no=141&display_group=1&cafe_mkt=naver_ks&mkt_in=Y&ghost_mall_id=naver&ref=naver_open	http://m.skmrkt.com/product/detail.html?product_no=1042&cate_no=141&display_group=1&cafe_mkt=naver_ks	http://skmrkt.com/web/product/medium/202508/a5928b109d127426342092791e317862_dburl.jpg		전체상품	육아용품					신상품											힙	힙				2780			2800			유아이유식|과일이유식|힙이유식|유아식				1	0	3000	Y	제주지역 4000원/도서산간지역 4000원/								
1043	힙 스트로베리 바나나 인 애플 100g	2780	2780		https://skmrkt.com/product/detail.html?product_no=1043&cate_no=141&display_group=1&cafe_mkt=naver_ks&mkt_in=Y&ghost_mall_id=naver&ref=naver_open	http://m.skmrkt.com/product/detail.html?product_no=1043&cate_no=141&display_group=1&cafe_mkt=naver_ks	http://skmrkt.com/web/product/medium/202508/2ee46f1f7226dab5f399c33303dcd4ae_dburl.jpg		전체상품	육아용품					신상품											힙	힙				2780			2800			유아이유식|과일이유식|힙이유식|유아식				1	0	3000	Y	제주지역 4000원/도서산간지역 4000원/								
1044	힙 키위 인 페어 바나나 100g	2780	2780		https://skmrkt.com/product/detail.html?product_no=1044&cate_no=141&display_group=1&cafe_mkt=naver_ks&mkt_in=Y&ghost_mall_id=naver&ref=naver_open	http://m.skmrkt.com/product/detail.html?product_no=1044&cate_no=141&display_group=1&cafe_mkt=naver_ks	http://skmrkt.com/web/product/medium/202508/a810fe96c16fd8cea472d0523857a94c_dburl.jpg		전체상품	육아용품					신상품											힙	힙				2780			2800			유아이유식|과일이유식|힙이유식|유아식				1	0	3000	Y	제주지역 4000원/도서산간지역 4000원/								
